Date,Open,High,Low,Close,Adj Close,Volume
2.1.14,398.799988,399.359985,394.019989,397.970001,397.970001,2137800
3.1.14,398.290009,402.709991,396.220001,396.440002,396.440002,2210200
6.1.14,395.850006,397,388.420013,393.630005,393.630005,3170600
7.1.14,395.040009,398.470001,394.290009,398.029999,398.029999,1916000
8.1.14,398.470001,403,396.040009,401.920013,401.920013,2316500
9.1.14,403.709991,406.890015,398.440002,401.01001,401.01001,2103000
10.1.14,402.529999,403.76001,393.799988,397.660004,397.660004,2679500
13.1.14,397.980011,399.779999,388.450012,390.980011,390.980011,2844900
14.1.14,392.130005,398.630005,391.290009,397.540009,397.540009,2340100
15.1.14,398.940002,399.309998,392.529999,395.869995,395.869995,2678300
16.1.14,393.679993,399.290009,389.410004,395.799988,395.799988,2601200
17.1.14,394.26001,403.48999,393.660004,399.609985,399.609985,4505100
21.1.14,403,407.799988,401.600006,407.049988,407.049988,3122100
22.1.14,408,408.059998,402,404.540009,404.540009,2060500
23.1.14,401,406.170013,397.790009,399.869995,399.869995,3025400
24.1.14,398.160004,400.200012,387.269989,387.600006,387.600006,4458400
27.1.14,390.5,394.100006,380.48999,386.279999,386.279999,3936800
28.1.14,387.399994,394.73999,387.119995,394.429993,394.429993,2894500
29.1.14,392.160004,392.850006,383.23999,384.200012,384.200012,3382300
30.1.14,393.769989,406.25,387.700012,403.01001,403.01001,10473900
31.1.14,371.76001,375.450012,357.76001,358.690002,358.690002,16154800
3.2.14,358.980011,360.850006,340.100006,346.149994,346.149994,10280800
4.2.14,349.589996,354,344.019989,347.950012,347.950012,4812900
5.2.14,346,349.369995,337.730011,346.450012,346.450012,4435400
6.2.14,347.399994,354.820007,347.399994,354.589996,354.589996,3335700
7.2.14,358.980011,361.799988,352.48999,361.079987,361.079987,4330500
10.2.14,361.609985,365,359.350006,360.869995,360.869995,3449700
11.2.14,361.839996,363.609985,356.25,361.790009,361.790009,3222100
12.2.14,356.429993,357.75,346.320007,349.25,349.25,6587700
13.2.14,347.700012,357.200012,346.5,357.200012,357.200012,4175000
